latitude;longitude;country
42.546.245;1.601.554;Andorra
23.424.076;53.847.818;United Arab Emirates
3.393.911;67.709.953;Afghanistan
17.060.816;-61.796.428;Antigua and Barbuda
18.220.554;-63.068.615;Anguilla
41.153.332;20.168.331;Albania
40.069.099;45.038.189;Armenia
12.226.079;-69.060.087;Netherlands Antilles
-11.202.692;17.873.887;Angola
-75.250.973;-0.071389;Antarctica
-38.416.097;-63.616.672;Argentina
-14.270.972;-170.132.217;American Samoa
47.516.231;14.550.072;Austria
-25.274.398;133.775.136;Australia
1.252.111;-69.968.338;Aruba
40.143.105;47.576.927;Azerbaijan
43.915.886;17.679.076;Bosnia and Herzegovina
13.193.887;-59.543.198;Barbados
23.684.994;90.356.331;Bangladesh
50.503.887;4.469.936;Belgium
12.238.333;-1.561.593;Burkina Faso
42.733.883;2.548.583;Bulgaria
25.930.414;50.637.772;Bahrain
-3.373.056;29.918.886;Burundi
930.769;2.315.834;Benin
32.321.384;-6.475.737;Bermuda
4.535.277;114.727.669;Brunei
-16.290.154;-63.588.653;Bolivia
-14.235.004;-5.192.528;Brazil
2.503.428;-7.739.628;Bahamas
27.514.162;90.433.601;Bhutan
-54.423.199;3.413.194;Bouvet Island
-22.328.474;24.684.866;Botswana
53.709.807;27.953.389;Belarus
17.189.877;-8.849.765;Belize
56.130.366;-106.346.771;Canada
-12.164.165;96.870.956;Cocos [Keeling] Islands
-4.038.333;21.758.664;Congo [DRC]
6.611.111;20.939.444;Central African Republic
-0.228021;15.827.659;Congo [Republic]
46.818.188;8.227.512;Switzerland
7.539.989;-554.708;Côte d'Ivoire
-21.236.736;-159.777.671;Cook Islands
-35.675.147;-71.542.969;Chile
7.369.722;12.354.722;Cameroon
3.586.166;104.195.397;China
4.570.868;-74.297.333;Colombia
9.748.917;-83.753.428;Costa Rica
21.521.757;-77.781.167;Cuba
16.002.082;-24.013.197;Cape Verde
-10.447.525;105.690.449;Christmas Island
35.126.413;33.429.859;Cyprus
49.817.492;15.472.962;Czech Republic
51.165.691;10.451.526;Germany
11.825.138;42.590.275;Djibouti
5.626.392;9.501.785;Denmark
15.414.999;-61.370.976;Dominica
18.735.693;-70.162.651;Dominican Republic
28.033.886;1.659.626;Algeria
-1.831.239;-78.183.406;Ecuador
58.595.272;25.013.607;Estonia
26.820.553;30.802.498;Egypt
24.215.527;-12.885.834;Western Sahara
15.179.384;39.782.334;Eritrea
40.463.667;-374.922;Spain
9.145;40.489.673;Ethiopia
6.192.411;25.748.151;Finland
-16.578.193;179.414.413;Fiji
-51.796.253;-59.523.613;Falkland Islands [Islas Malvinas]
7.425.554;150.550.812;Micronesia
61.892.635;-6.911.806;Faroe Islands
46.227.638;2.213.749;France
-0.803689;11.609.444;Gabon
55.378.051;-3.435.973;United Kingdom
12.262.776;-61.604.171;Grenada
42.315.407;43.356.892;Georgia
3.933.889;-53.125.782;French Guiana
49.465.691;-2.585.278;Guernsey
7.946.527;-1.023.194;Ghana
36.137.741;-5.345.374;Gibraltar
71.706.936;-42.604.303;Greenland
13.443.182;-15.310.139;Gambia
9.945.587;-9.696.645;Guinea
16.995.971;-62.067.641;Guadeloupe
1.650.801;10.267.895;Equatorial Guinea
39.074.208;21.824.312;Greece
-54.429.579;-36.587.909;South Georgia and the South Sandwich Islands
15.783.471;-90.230.759;Guatemala
13.444.304;144.793.731;Guam
11.803.749;-15.180.413;Guinea-Bissau
4.860.416;-5.893.018;Guyana
31.354.676;34.308.825;Gaza Strip
22.396.428;114.109.497;Hong Kong
-5.308.181;73.504.158;Heard Island and McDonald Islands
15.199.999;-86.241.905;Honduras
45.1;15.2;Croatia
18.971.187;-72.285.215;Haiti
47.162.494;19.503.304;Hungary
-0.789275;113.921.327;Indonesia
5.341.291;-824.389;Ireland
31.046.051;34.851.612;Israel
54.236.107;-4.548.056;Isle of Man
20.593.684;7.896.288;India
-6.343.194;71.876.519;British Indian Ocean Territory
33.223.191;43.679.291;Iraq
32.427.908;53.688.046;Iran
64.963.051;-19.020.835;Iceland
4.187.194;1.256.738;Italy
49.214.439;-213.125;Jersey
18.109.581;-77.297.508;Jamaica
30.585.164;36.238.414;Jordan
36.204.824;138.252.924;Japan
-0.023559;37.906.193;Kenya
4.120.438;74.766.098;Kyrgyzstan
12.565.679;104.990.963;Cambodia
-3.370.417;-168.734.039;Kiribati
-11.875.001;43.872.219;Comoros
17.357.822;-62.782.998;Saint Kitts and Nevis
40.339.852;127.510.093;North Korea
35.907.757;127.766.922;South Korea
2.931.166;47.481.766;Kuwait
19.513.469;-80.566.956;Cayman Islands
48.019.573;66.923.684;Kazakhstan
1.985.627;102.495.496;Laos
33.854.721;35.862.285;Lebanon
13.909.444;-60.978.893;Saint Lucia
47.166;9.555.373;Liechtenstein
7.873.054;80.771.797;Sri Lanka
6.428.055;-9.429.499;Liberia
-29.609.988;28.233.608;Lesotho
55.169.438;23.881.275;Lithuania
49.815.273;6.129.583;Luxembourg
56.879.635;24.603.189;Latvia
263.351;17.228.331;Libya
31.791.702;-709.262;Morocco
43.750.298;7.412.841;Monaco
47.411.631;28.369.885;Moldova
42.708.678;1.937.439;Montenegro
-18.766.947;46.869.107;Madagascar
7.131.474;171.184.478;Marshall Islands
41.608.635;21.745.275;Macedonia [FYROM]
17.570.692;-3.996.166;Mali
21.913.965;95.956.223;Myanmar [Burma]
46.862.496;103.846.656;Mongolia
22.198.745;113.543.873;Macau
1.733.083;14.538.469;Northern Mariana Islands
14.641.528;-61.024.174;Martinique
2.100.789;-10.940.835;Mauritania
16.742.498;-62.187.366;Montserrat
35.937.496;14.375.416;Malta
-20.348.404;57.552.152;Mauritius
3.202.778;7.322.068;Maldives
